Time,Light,Sound,Engagement
6600,223.0,44.3,Somewhat
6610,223.0,50.1,Somewhat
6620,223.0,41.7,Somewhat
6630,223.0,48.1,Somewhat
6640,223.0,47.0,No
6650,223.0,48.7,No
6660,223.0,42.3,No
6670,223.0,46.9,No
6680,223.0,47.4,Somewhat
6690,223.0,46.5,Somewhat
6700,223.0,47.6,Somewhat
6710,223.0,42.4,Somewhat
6720,223.0,42.3,Somewhat
6730,222.0,46.2,Somewhat
6740,222.0,35.5,Somewhat
6750,222.0,42.9,Somewhat
6760,221.0,39.3,Somewhat
6770,222.0,38.8,Somewhat
6780,222.0,47.4,Somewhat
6790,222.0,46.4,No
6800,222.0,46.4,Somewhat
6810,222.0,43.9,No
6820,220.0,45.3,No
6830,220.0,42.6,No
6840,221.0,46.0,Somewhat
6850,222.0,47.4,Somewhat
6860,222.0,44.0,Somewhat
6870,222.0,49.0,Somewhat
6880,221.0,48.4,Somewhat
6890,221.0,41.1,Somewhat
6900,221.0,48.5,Somewhat
6910,221.0,48.8,Somewhat
6920,221.0,49.7,Somewhat
6930,221.0,46.6,Somewhat
6940,222.0,44.6,Somewhat
6950,221.0,44.8,Somewhat
6960,221.0,50.9,Somewhat
6970,221.0,44.2,Somewhat
6980,223.0,47.9,Somewhat
6990,223.0,33.6,Somewhat
7000,223.0,41.1,Somewhat
7010,220.0,50.3,Somewhat
7020,221.0,47.2,Somewhat
7030,221.0,44.8,No
7040,221.0,44.2,No
7050,221.0,45.0,No
7060,222.0,47.1,Somewhat
7070,221.0,45.4,Somewhat
7080,221.0,34.8,Somewhat
7090,222.0,43.1,Yes
7100,221.0,49.9,Somewhat
7110,223.0,46.3,Somewhat
7120,223.0,47.1,Somewhat
7130,224.0,46.6,Somewhat
7140,224.0,47.3,Somewhat
7150,224.0,45.5,Somewhat
7160,223.0,43.1,Somewhat
7170,224.0,44.6,Somewhat
7180,224.0,46.8,Somewhat
7190,225.0,47.0,Somewhat
7200,224.0,46.7,Somewhat
7210,223.0,43.1,Somewhat
7220,223.0,48.3,Somewhat
7230,225.0,46.9,Somewhat
7240,224.0,46.8,Somewhat
7250,223.0,43.9,Somewhat
7260,224.0,46.0,Somewhat
7270,223.0,49.3,Somewhat
7280,223.0,44.5,Somewhat
7290,223.0,45.9,Somewhat
7300,223.0,45.9,Somewhat
7310,223.0,43.0,Somewhat
7320,223.0,44.4,Somewhat
7330,223.0,47.0,Somewhat
7340,223.0,47.4,Somewhat
7350,223.0,47.1,Somewhat
7360,223.0,43.7,Somewhat
7370,225.0,49.8,Somewhat
7380,225.0,46.4,Somewhat
