sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
234.0;51.912;176526;2019-04-02 13:37:23:777
234.0;36.924;177026;2019-04-02 13:37:24:277
234.0;58.722;177525;2019-04-02 13:37:24:776
234.0;60.049;178025;2019-04-02 13:37:25:276
234.0;52.905;178525;2019-04-02 13:37:25:776
234.0;57.404;179025;2019-04-02 13:37:26:276
234.0;58.338;179525;2019-04-02 13:37:26:776
234.0;55.743;180025;2019-04-02 13:37:27:276
234.0;56.147;180526;2019-04-02 13:37:27:777
234.0;48.161;181025;2019-04-02 13:37:28:276
234.0;39.606;181526;2019-04-02 13:37:28:777
234.0;53.219;182025;2019-04-02 13:37:29:276
234.0;53.484;182525;2019-04-02 13:37:29:776
234.0;50.612;183025;2019-04-02 13:37:30:276
234.0;50.09;183525;2019-04-02 13:37:30:776
234.0;39.769;184025;2019-04-02 13:37:31:276
234.0;52.198;184526;2019-04-02 13:37:31:777
234.0;52.807;185025;2019-04-02 13:37:32:276
234.0;54.857;185525;2019-04-02 13:37:32:776
234.0;55.41;186026;2019-04-02 13:37:33:277
234.0;51.295;186525;2019-04-02 13:37:33:776
234.0;47.574;187026;2019-04-02 13:37:34:277
234.0;49.696;187525;2019-04-02 13:37:34:776
234.0;48.535;188025;2019-04-02 13:37:35:276
234.0;42.434;188526;2019-04-02 13:37:35:777
234.0;52.423;189025;2019-04-02 13:37:36:276
234.0;56.56;189525;2019-04-02 13:37:36:776
234.0;42.104;190025;2019-04-02 13:37:37:276
234.0;33.884;190526;2019-04-02 13:37:37:777
234.0;46.965;191025;2019-04-02 13:37:38:276
234.0;33.939;191525;2019-04-02 13:37:38:776
234.0;56.072;192027;2019-04-02 13:37:39:278
234.0;55.365;192526;2019-04-02 13:37:39:777
234.0;53.574;193025;2019-04-02 13:37:40:276
234.0;52.111;193525;2019-04-02 13:37:40:776
234.0;52.191;194026;2019-04-02 13:37:41:277
234.0;51.532;194526;2019-04-02 13:37:41:777
234.0;55.504;195026;2019-04-02 13:37:42:277
234.0;59.555;195526;2019-04-02 13:37:42:777
234.0;57.988;196026;2019-04-02 13:37:43:277
234.0;53.246;196526;2019-04-02 13:37:43:777
234.0;52.778;197025;2019-04-02 13:37:44:276
234.0;45.126;197525;2019-04-02 13:37:44:776
234.0;52.06;198025;2019-04-02 13:37:45:276
234.0;49.802;198526;2019-04-02 13:37:45:777
234.0;44.772;199026;2019-04-02 13:37:46:277
234.0;51.446;199525;2019-04-02 13:37:46:776
234.0;52.355;200025;2019-04-02 13:37:47:276
234.0;55.355;200526;2019-04-02 13:37:47:777
234.0;40.961;201025;2019-04-02 13:37:48:276
234.0;33.824;201526;2019-04-02 13:37:48:777
234.0;53.712;202025;2019-04-02 13:37:49:276
234.0;52.332;202526;2019-04-02 13:37:49:777
234.0;55.868;203025;2019-04-02 13:37:50:276
234.0;54.605;203525;2019-04-02 13:37:50:776
234.0;54.583;204026;2019-04-02 13:37:51:277
234.0;51.858;204524;2019-04-02 13:37:51:775
234.0;55.722;205025;2019-04-02 13:37:52:276
234.0;33.591;205525;2019-04-02 13:37:52:776
234.0;54.575;206025;2019-04-02 13:37:53:276
234.0;54.007;206525;2019-04-02 13:37:53:776
234.0;54.733;207026;2019-04-02 13:37:54:277
234.0;55.589;207525;2019-04-02 13:37:54:776
234.0;55.582;208026;2019-04-02 13:37:55:277
234.0;52.531;208525;2019-04-02 13:37:55:776
234.0;54.73;209027;2019-04-02 13:37:56:278
234.0;51.599;209525;2019-04-02 13:37:56:776
234.0;51.31;210025;2019-04-02 13:37:57:276
234.0;39.929;210526;2019-04-02 13:37:57:777
234.0;56.475;211025;2019-04-02 13:37:58:276
234.0;51.656;211525;2019-04-02 13:37:58:776
234.0;52.988;212025;2019-04-02 13:37:59:276
234.0;51.386;212525;2019-04-02 13:37:59:776
234.0;46.803;213025;2019-04-02 13:38:00:276
234.0;53.452;213525;2019-04-02 13:38:00:776
234.0;59.291;214025;2019-04-02 13:38:01:276
234.0;45.993;214525;2019-04-02 13:38:01:776
234.0;35.147;215025;2019-04-02 13:38:02:276
234.0;57.423;215525;2019-04-02 13:38:02:776
234.0;57.877;216027;2019-04-02 13:38:03:278
234.0;49.609;216525;2019-04-02 13:38:03:776
234.0;54.007;217025;2019-04-02 13:38:04:276
234.0;53.795;217526;2019-04-02 13:38:04:777
234.0;40.013;218027;2019-04-02 13:38:05:278
234.0;45.176;218525;2019-04-02 13:38:05:776
234.0;54.135;219027;2019-04-02 13:38:06:278
234.0;54.164;219527;2019-04-02 13:38:06:778
234.0;58.563;220025;2019-04-02 13:38:07:276
234.0;48.721;220525;2019-04-02 13:38:07:776
234.0;54.877;221025;2019-04-02 13:38:08:276
234.0;59.924;221525;2019-04-02 13:38:08:776
234.0;54.084;222025;2019-04-02 13:38:09:276
234.0;53.418;222525;2019-04-02 13:38:09:776
234.0;53.181;223026;2019-04-02 13:38:10:277
234.0;56.003;223525;2019-04-02 13:38:10:776
234.0;45.527;224026;2019-04-02 13:38:11:277
234.0;34.408;224525;2019-04-02 13:38:11:776
234.0;55.538;225026;2019-04-02 13:38:12:277
234.0;56.443;225525;2019-04-02 13:38:12:776
234.0;51.461;226030;2019-04-02 13:38:13:281
234.0;50.886;226526;2019-04-02 13:38:13:777
234.0;56.103;227026;2019-04-02 13:38:14:277
234.0;51.241;227525;2019-04-02 13:38:14:776
234.0;53.509;228027;2019-04-02 13:38:15:278
234.0;48.579;228525;2019-04-02 13:38:15:776
