LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
521,31.916,1557019,2019-03-12 12:27:12:952
519,30.216,1557520,2019-03-12 12:27:13:453
519,39.326,1558019,2019-03-12 12:27:13:952
521,53.869,1558519,2019-03-12 12:27:14:452
519,55.301,1559019,2019-03-12 12:27:14:952
519,52.871,1559519,2019-03-12 12:27:15:452
519,55.407,1560019,2019-03-12 12:27:15:952
519,50.633,1560519,2019-03-12 12:27:16:452
519,37.811,1561021,2019-03-12 12:27:16:954
519,38.349,1561519,2019-03-12 12:27:17:452
519,55.385,1562019,2019-03-12 12:27:17:952
519,52.017,1562519,2019-03-12 12:27:18:452
519,53.441,1563019,2019-03-12 12:27:18:952
519,55.601,1563521,2019-03-12 12:27:19:454
519,51.029,1564019,2019-03-12 12:27:19:952
519,43.34,1564519,2019-03-12 12:27:20:452
512,53.728,1565019,2019-03-12 12:27:20:952
521,56.257,1565519,2019-03-12 12:27:21:452
521,51.495,1566018,2019-03-12 12:27:21:951
521,55.262,1566519,2019-03-12 12:27:22:452
519,54.217,1567018,2019-03-12 12:27:22:951
519,54.802,1567518,2019-03-12 12:27:23:451
519,51.839,1568019,2019-03-12 12:27:23:952
512,54.28,1568518,2019-03-12 12:27:24:451
512,55.29,1569019,2019-03-12 12:27:24:952
512,55.767,1569519,2019-03-12 12:27:25:452
512,50.879,1570019,2019-03-12 12:27:25:952
512,37.29,1570519,2019-03-12 12:27:26:452
519,46.502,1571019,2019-03-12 12:27:26:952
519,53.075,1571519,2019-03-12 12:27:27:452
512,39.086,1572019,2019-03-12 12:27:27:952
512,36.929,1572518,2019-03-12 12:27:28:451
519,48.17,1573018,2019-03-12 12:27:28:951
512,51.674,1573518,2019-03-12 12:27:29:451
512,52.633,1574019,2019-03-12 12:27:29:952
512,52.211,1574520,2019-03-12 12:27:30:453
521,44.562,1575019,2019-03-12 12:27:30:952
519,53.622,1575519,2019-03-12 12:27:31:452
512,53.009,1576019,2019-03-12 12:27:31:952
512,53.252,1576519,2019-03-12 12:27:32:452
512,49.952,1577019,2019-03-12 12:27:32:952
512,49.213,1577519,2019-03-12 12:27:33:452
512,49.524,1578019,2019-03-12 12:27:33:952
